TIGR00001;rpmI_bact: ribosomal protein L35
TIGR00491;aIF-2: translation initiation factor aIF-2
TIGR00492;alr: alanine racemase
TIGR00493;clpP: ATP-dependent Clp endopeptidase, proteolytic subunit ClpP
TIGR00494;crcB: protein CrcB
TIGR00495;crvDNA_42K: DNA-binding protein, 42 kDa
TIGR00496;frr: ribosome recycling factor
TIGR00497;hsdM: type I restriction-modification system, M subunit
TIGR00498;lexA: repressor LexA
TIGR00499;lysS_bact: lysine--tRNA ligase
TIGR00500;met_pdase_I: methionine aminopeptidase, type I
TIGR00501;met_pdase_II: methionine aminopeptidase, type II
TIGR00502;nagB: glucosamine-6-phosphate deaminase
TIGR00503;prfC: peptide chain release factor 3
TIGR00504;pyro_pdase: pyroglutamyl-peptidase I
TIGR00505;ribA: GTP cyclohydrolase II
TIGR00506;ribB: 3,4-dihydroxy-2-butanone-4-phosphate synthase
TIGR00507;aroE: shikimate 5-dehydrogenase
TIGR00508;bioA: adenosylmethionine-8-amino-7-oxononanoate transaminase
TIGR00509;bisC_fam: molybdopterin guanine dinucleotide-containing S/N-oxide reductases
TIGR00510;lipA: lipoyl synthase
TIGR00511;ribulose_e2b2: ribose-1,5-bisphosphate isomerase, e2b2 family
TIGR00512;salvage_mtnA: S-methyl-5-thioribose-1-phosphate isomerase
TIGR00513;accA: acetyl-CoA carboxylase, carboxyl transferase, alpha subunit
TIGR00514;accC: acetyl-CoA carboxylase, biotin carboxylase subunit
TIGR00515;accD: acetyl-CoA carboxylase, carboxyl transferase, beta subunit
TIGR00516;acpS: holo-[acyl-carrier-protein] synthase
TIGR00517;acyl_carrier: acyl carrier protein
TIGR00518;alaDH: alanine dehydrogenase
TIGR00519;asnASE_I: L-asparaginase, type I
TIGR00520;asnASE_II: L-asparaginase, type II
TIGR00521;coaBC_dfp: phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase
TIGR00522;dph5: diphthine synthase
TIGR00523;eIF-1A: translation initiation factor eIF-1A
TIGR00524;eIF-2B_rel: eIF-2B alpha/beta/delta-related uncharacterized proteins
TIGR00525;folB: dihydroneopterin aldolase
TIGR00526;folB_dom: FolB domain
TIGR00527;gcvH: glycine cleavage system H protein
TIGR00528;gcvT: glycine cleavage system T protein
TIGR00529;AF0261: integral membrane protein, TIGR00529 family
TIGR00530;AGP_acyltrn: 1-acylglycerol-3-phosphate O-acyltransferases
TIGR00531;BCCP: acetyl-CoA carboxylase, biotin carboxyl carrier protein
TIGR00532;HMG_CoA_R_NAD: hydroxymethylglutaryl-CoA reductase, degradative
TIGR00533;HMG_CoA_R_NADP: hydroxymethylglutaryl-CoA reductase (NADPH)
TIGR00534;OpcA: glucose-6-phosphate dehydrogenase assembly protein OpcA
TIGR00535;SAM_DCase: S-adenosylmethionine decarboxylase proenzyme
TIGR00536;hemK_fam: methyltransferase, HemK family
TIGR00537;hemK_rel_arch: putative methylase
TIGR00538;hemN: oxygen-independent coproporphyrinogen III oxidase
TIGR00539;hemN_rel: putative oxygen-independent coproporphyrinogen III oxidase
TIGR00540;TPR_hemY_coli: heme biosynthesis-associated TPR protein
TIGR00541;hisDCase_pyru: histidine decarboxylase, pyruvoyl type
TIGR00542;hxl6Piso_put: putative hexulose-6-phosphate isomerase
TIGR00543;isochor_syn: isochorismate synthase
TIGR00544;lgt: prolipoprotein diacylglyceryl transferase
TIGR00545;lipoyltrans: lipoyltransferase and lipoate-protein ligase
TIGR00546;lnt: apolipoprotein N-acyltransferase
TIGR00547;lolA: outer membrane lipoprotein carrier protein LolA
TIGR00548;lolB: outer membrane lipoprotein LolB
TIGR00549;mevalon_kin: mevalonate kinase
TIGR00550;nadA: quinolinate synthetase complex, A subunit
TIGR00551;nadB: L-aspartate oxidase
TIGR00552;nadE: NAD+ synthetase
TIGR00553;pabB: aminodeoxychorismate synthase, component I
TIGR00554;panK_bact: pantothenate kinase
TIGR00555;panK_eukar: pantothenate kinase
TIGR00556;pantethn_trn: phosphopantetheine--protein transferase domain
TIGR00557;pdxA: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA
TIGR00558;pdxH: pyridoxamine 5'-phosphate oxidase
TIGR00559;pdxJ: pyridoxine 5'-phosphate synthase
TIGR00560;pgsA: CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
TIGR00561;pntA: NAD(P)(+) transhydrogenase (AB-specific), alpha subunit
TIGR00562;proto_IX_ox: protoporphyrinogen oxidase
TIGR00563;rsmB: ribosomal RNA small subunit methyltransferase B
TIGR00564;trpE_most: anthranilate synthase component I
TIGR00565;trpE_proteo: anthranilate synthase component I
TIGR00566;trpG_papA: glutamine amidotransferase of anthranilate synthase or aminodeoxychorismate synthase
TIGR00567;3mg: DNA-3-methyladenine glycosylase
TIGR00568;alkb: alkylated DNA repair protein AlkB
TIGR00569;ccl1: cyclin ccl1
TIGR00570;cdk7: CDK-activating kinase assembly factor MAT1
TIGR00571;dam: DNA adenine methylase
TIGR00573;dnaq: exonuclease, DNA polymerase III, epsilon subunit family
TIGR00574;dnl1: DNA ligase I, ATP-dependent (dnl1)
TIGR00575;dnlj: DNA ligase, NAD-dependent
TIGR00576;dut: dUTP diphosphatase
TIGR00577;fpg: formamidopyrimidine-DNA glycosylase
TIGR00578;ku70: ATP-dependent DNA helicase II, 70 kDa subunit (ku70)
TIGR00580;mfd: transcription-repair coupling factor
TIGR00581;moaC: molybdenum cofactor biosynthesis protein C
TIGR00583;mre11: DNA repair protein (mre11)
TIGR00584;mug: mismatch-specific thymine-DNA glycosylate (mug)
TIGR00585;mutl: DNA mismatch repair protein MutL
TIGR00586;mutt: mutator mutT protein
TIGR00587;nfo: apurinic endonuclease (APN1)
TIGR00588;ogg: 8-oxoguanine DNA-glycosylase (ogg)
TIGR00589;ogt: methylated-DNA-[protein]-cysteine S-methyltransferase
TIGR00590;pcna: proliferating cell nuclear antigen (pcna)
TIGR00591;phr2: deoxyribodipyrimidine photolyase
TIGR00592;pol2: DNA polymerase (pol2)
TIGR00593;pola: DNA polymerase I
TIGR00594;polc: DNA polymerase III, alpha subunit
TIGR00595;priA: primosomal protein N'
TIGR00596;rad1: DNA repair protein (rad1)
TIGR00597;rad10: DNA repair protein rad10
TIGR00598;rad14: DNA repair protein
TIGR00599;rad18: DNA repair protein rad18
TIGR00600;rad2: DNA excision repair protein (rad2)
TIGR00601;rad23: UV excision repair protein Rad23
TIGR00602;rad24: checkpoint protein rad24
TIGR00603;rad25: DNA repair helicase rad25
TIGR00604;rad3: DNA repair helicase (rad3)
TIGR00605;rad4: DNA repair protein rad4
TIGR00606;rad50: rad50
TIGR00607;rad52: recombination protein rad52
TIGR00608;radc: DNA repair protein RadC
TIGR00609;recB: exodeoxyribonuclease V, beta subunit
TIGR00611;recf: DNA replication and repair protein RecF
TIGR00612;ispG_gcpE: 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
TIGR00613;reco: DNA repair protein RecO
TIGR00614;recQ_fam: ATP-dependent DNA helicase, RecQ family
TIGR00615;recR: recombination protein RecR
TIGR00616;rect: recombinase, phage RecT family
TIGR00617;rpa1: replication factor-a protein 1 (rpa1)
TIGR00618;sbcc: exonuclease SbcC
TIGR00619;sbcd: exonuclease SbcCD, D subunit
TIGR00621;ssb: single-stranded DNA-binding protein
TIGR00622;ssl1: transcription factor ssl1
TIGR00623;sula: cell division inhibitor SulA
TIGR00624;tag: DNA-3-methyladenine glycosylase I
TIGR00625;tfb2: transcription factor Tfb2
TIGR00627;tfb4: transcription factor tfb4
TIGR00628;ung: uracil-DNA glycosylase
TIGR00629;uvde: UV damage endonuclease UvdE
TIGR00630;uvra: excinuclease ABC subunit A
TIGR00631;uvrb: excinuclease ABC subunit B
TIGR00632;vsr: DNA mismatch endonuclease Vsr
TIGR00633;xth: exodeoxyribonuclease III (xth)
TIGR00634;recN: DNA repair protein RecN
TIGR00635;ruvB: Holliday junction DNA helicase RuvB
TIGR00636;PduO_Nterm: ATP:cob(I)alamin adenosyltransferase
TIGR00637;ModE_repress: ModE molybdate transport repressor domain
TIGR00638;Mop: molybdenum-pterin binding domain
TIGR00639;PurN: phosphoribosylglycinamide formyltransferase
TIGR00640;acid_CoA_mut_C: methylmalonyl-CoA mutase C-terminal domain
TIGR00641;acid_CoA_mut_N: methylmalonyl-CoA mutase N-terminal domain
TIGR00642;mmCoA_mut_beta: methylmalonyl-CoA mutase, small subunit
TIGR00643;recG: ATP-dependent DNA helicase RecG
TIGR00644;recJ: single-stranded-DNA-specific exonuclease RecJ
TIGR00645;HI0507: TIGR00645 family protein
TIGR00646;MG010: DNA primase-like protein
TIGR00647;MG103: conserved hypothetical protein
TIGR00648;recU: recombination protein U
TIGR00649;MG423: conserved hypothetical protein
TIGR00651;pta: phosphate acetyltransferase
TIGR00652;DapF: diaminopimelate epimerase
TIGR00653;GlnA: glutamine synthetase, type I
TIGR00654;PhzF_family: phenazine biosynthesis protein, PhzF family
TIGR00655;PurU: formyltetrahydrofolate deformylase
TIGR00656;asp_kin_monofn: aspartate kinase, monofunctional class
TIGR00657;asp_kinases: aspartate kinase
TIGR00658;orni_carb_tr: ornithine carbamoyltransferase
TIGR00659;TIGR00659: TIGR00659 family protein
TIGR00661;MJ1255: conserved hypothetical protein
TIGR00663;dnan: DNA polymerase III, beta subunit
TIGR00664;DNA_III_psi: DNA polymerase III, psi subunit
TIGR00665;DnaB: replicative DNA helicase
TIGR00666;PBP4: D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
TIGR00667;aat: leucyl/phenylalanyl-tRNA--protein transferase
TIGR00668;apaH: bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
TIGR00669;asnA: aspartate--ammonia ligase
TIGR00670;asp_carb_tr: aspartate carbamoyltransferase
TIGR00671;baf: pantothenate kinase, type III
TIGR00672;cdh: CDP-diacylglycerol pyrophosphatase
TIGR00673;cynS: cyanate hydratase
TIGR00674;dapA: dihydrodipicolinate synthase
TIGR00675;dcm: DNA (cytosine-5-)-methyltransferase
TIGR00676;fadh2: 5,10-methylenetetrahydrofolate reductase
TIGR00677;fadh2_euk: methylenetetrahydrofolate reductase
TIGR00678;holB: DNA polymerase III, delta' subunit
TIGR00679;hpr-ser: HPr(Ser) kinase/phosphatase
TIGR00680;kdpA: K+-transporting ATPase, A subunit
TIGR00681;kdpC: K+-transporting ATPase, C subunit
TIGR00682;lpxK: tetraacyldisaccharide 4'-kinase
TIGR00683;nanA: N-acetylneuraminate lyase
TIGR00684;narJ: nitrate reductase molybdenum cofactor assembly chaperone
TIGR00685;T6PP: trehalose-phosphatase
TIGR00686;phnA: putative alkylphosphonate utilization operon protein PhnA
TIGR00687;pyridox_kin: pyridoxal kinase
TIGR00688;rarD: protein RarD
TIGR00689;rpiB_lacA_lacB: sugar-phosphate isomerase, RpiB/LacA/LacB family
TIGR00690;rpoZ: DNA-directed RNA polymerase, omega subunit
TIGR00691;spoT_relA: RelA/SpoT family protein
TIGR00692;tdh: L-threonine 3-dehydrogenase
TIGR00693;thiE: thiamine-phosphate pyrophosphorylase
TIGR00694;thiM: hydroxyethylthiazole kinase
TIGR00695;uxuA: mannonate dehydratase
TIGR00696;wecG_tagA_cpsF: glycosyltransferase, WecB/TagA/CpsF family
TIGR00697;TIGR00697: conserved hypothetical integral membrane protein
TIGR00698;TIGR00698: conserved hypothetical protein
TIGR00699;GABAtrns_euk: 4-aminobutyrate aminotransferase
TIGR00700;GABAtrnsam: 4-aminobutyrate transaminase
TIGR00701;TIGR00701: TIGR00701 family protein
TIGR00702;TIGR00702: uncharacterized domain
TIGR00703;TIGR00703: TIGR00703 family protein
TIGR00704;NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
TIGR00705;SppA_67K: signal peptide peptidase SppA, 67K type
TIGR00706;SppA_dom: signal peptide peptidase SppA, 36K type
TIGR00707;argD: transaminase, acetylornithine/succinylornithine family
TIGR00708;cobA: cob(I)yrinic acid a,c-diamide adenosyltransferase
TIGR00709;dat: 2,4-diaminobutyrate 4-transaminase
TIGR00710;efflux_Bcr_CflA: drug resistance transporter, Bcr/CflA subfamily
TIGR00711;efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
TIGR00712;glpT: glycerol-3-phosphate transporter
TIGR00713;hemL: glutamate-1-semialdehyde-2,1-aminomutase
TIGR00714;hscB: Fe-S protein assembly co-chaperone HscB
TIGR00715;precor6x_red: precorrin-6x reductase
TIGR00716;rnhC: ribonuclease HIII
TIGR00717;rpsA: ribosomal protein S1
TIGR00718;sda_alpha: L-serine dehydratase, iron-sulfur-dependent, alpha subunit
TIGR00719;sda_beta: L-serine dehydratase, iron-sulfur-dependent, beta subunit
TIGR00720;sda_mono: L-serine ammonia-lyase
TIGR00721;tfx: DNA-binding protein, Tfx family
TIGR00722;ttdA_fumA_fumB: hydrolyase, tartrate alpha subunit/fumarate domain protein, Fe-S type
TIGR00723;ttdB_fumA_fumB: hydrolyase, tartrate beta subunit/fumarate domain protein, Fe-S type
TIGR00724;urea_amlyse_rel: biotin-dependent carboxylase uncharacterized domain
TIGR00725;TIGR00725: TIGR00725 family protein
TIGR00726;TIGR00726: uncharacterized protein, YfiH family
TIGR00727;ISP4_OPT: small oligopeptide transporter, OPT family
TIGR00728;OPT_sfam: oligopeptide transporter, OPT superfamily
TIGR00729;TIGR00729: ribonuclease HII
TIGR00730;TIGR00730: TIGR00730 family protein
TIGR00731;ctc_TL5: ribosomal protein L25, Ctc-form
TIGR00732;dprA: DNA protecting protein DprA
TIGR00733;TIGR00733: oligopeptide transporter, OPT family
TIGR00734;hisAF_rel: hisA/hisF family protein
TIGR00735;hisF: imidazoleglycerol phosphate synthase, cyclase subunit
TIGR00736;nifR3_rel_arch: putative TIM-barrel protein
TIGR00737;nifR3_yhdG: putative TIM-barrel protein, nifR3 family
TIGR00738;rrf2_super: Rrf2 family protein
TIGR00739;yajC: preprotein translocase, YajC subunit
TIGR00740;TIGR00740: tRNA (cmo5U34)-methyltransferase
TIGR00741;yfiA: ribosomal subunit interface protein
TIGR00742;yjbN: tRNA dihydrouridine synthase A
TIGR00743;TIGR00743: conserved hypothetical protein
TIGR00744;ROK_glcA_fam: ROK family protein (putative glucokinase)
TIGR00745;apbA_panE: 2-dehydropantoate 2-reductase
TIGR00746;arcC: carbamate kinase
TIGR00747;fabH: 3-oxoacyl-[acyl-carrier-protein] synthase III
TIGR00748;HMG_CoA_syn_Arc: putative hydroxymethylglutaryl-CoA synthase
TIGR00749;glk: glucokinase
TIGR00750;lao: LAO/AO transport system ATPase
TIGR00751;menA: 1,4-dihydroxy-2-naphthoate octaprenyltransferase
TIGR00752;slp: outer membrane lipoprotein, Slp family
TIGR00753;undec_PP_bacA: undecaprenyl-diphosphatase UppP
TIGR00754;bfr: bacterioferritin
TIGR00755;ksgA: dimethyladenosine transferase
TIGR00756;PPR: pentatricopeptide repeat domain
TIGR00757;RNaseEG: ribonuclease, Rne/Rng family
TIGR00758;UDG_fam4: uracil-DNA glycosylase, family 4
TIGR00759;aceE: pyruvate dehydrogenase (acetyl-transferring), homodimeric type
TIGR00760;araD: L-ribulose-5-phosphate 4-epimerase
TIGR00761;argB: acetylglutamate kinase
TIGR00762;DegV: EDD domain protein, DegV family
TIGR00763;lon: ATP-dependent protease La
TIGR00764;lon_rel: putative ATP-dependent protease
TIGR00765;yihY_not_rbn: YihY family inner membrane protein
TIGR00766;TIGR00766: inner membrane protein YhjD
TIGR00767;rho: transcription termination factor Rho
TIGR00768;rimK_fam: alpha-L-glutamate ligases, RimK family
TIGR00769;AAA: ADP/ATP carrier protein family
TIGR00770;Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
TIGR00771;DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
TIGR00773;NhaA: Na+/H+ antiporter NhaA
TIGR00774;NhaB: Na+/H+ antiporter NhaB
TIGR00775;NhaD: Na+/H+ antiporter, NhaD family
TIGR00776;RhaT: RhaT L-rhamnose-proton symporter family protein
TIGR00777;ahpD: alkylhydroperoxidase, AhpD family
TIGR00778;ahpD_dom: alkylhydroperoxidase AhpD family core domain
TIGR00779;cad: cadmium resistance transporter family protein
TIGR00780;ccoN: cytochrome c oxidase, cbb3-type, subunit I
TIGR00781;ccoO: cytochrome c oxidase, cbb3-type, subunit II
TIGR00782;ccoP: cytochrome c oxidase, cbb3-type, subunit III
TIGR00783;ccs: citrate carrier protein, CCS family
TIGR00784;citMHS: citrate transporter
TIGR00785;dass: transporter, divalent anion:Na+ symporter (DASS) family
TIGR00786;dctM: TRAP transporter, DctM subunit
TIGR00787;dctP: TRAP transporter solute receptor, DctP family
TIGR00788;fbt: folate/biopterin transporter
TIGR00789;flhB_rel: FlhB domain protein
TIGR00790;fnt: formate/nitrite transporter
TIGR00791;gntP: transporter, gluconate:H+ symporter (GntP) family
TIGR00792;gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
TIGR00793;kdgT: 2-keto-3-deoxygluconate transporter
TIGR00794;kup: potassium uptake protein
TIGR00795;lctP: transporter, lactate permease (LctP) family
TIGR00796;livcs: branched-chain amino acid transport system II carrier protein
TIGR00797;matE: MATE efflux family protein
TIGR00798;mtc: tricarboxylate carrier
TIGR00799;mtp: Golgi 4-transmembrane spanning transporter
TIGR00800;ncs1: NCS1 nucleoside transporter family
TIGR00801;ncs2: uracil-xanthine permease
TIGR00802;nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
TIGR00803;nst: UDP-galactose transporter
TIGR00804;nupC: nucleoside transporter, NupC family
TIGR00805;oat: sodium-independent organic anion transporter
TIGR00806;rfc: reduced folate carrier
TIGR00807;malonate_madL: malonate transporter, MadL subunit
TIGR00808;malonate_madM: malonate transporter, MadM subunit
TIGR00809;secB: protein-export chaperone SecB
TIGR00810;secG: preprotein translocase, SecG subunit
TIGR00811;sit: silicon transporter
TIGR00813;sss: transporter, solute:sodium symporter (SSS) family
TIGR00814;stp: serine transporter
TIGR00815;sulP: sulfate permease
TIGR00816;tdt: C4-dicarboxylate transporter/malic acid transport protein
TIGR00817;tpt: Tpt phosphate/phosphoenolpyruvate translocator
TIGR00819;ydaH: AbgT transporter family
TIGR00820;zip: ZIP zinc/iron transport family
TIGR00821;EII-GUT: PTS system, glucitol/sorbitol-specific, IIC component
TIGR00822;EII-Sor: PTS system, mannose/fructose/sorbose family, IIC component
TIGR00823;EIIA-LAC: PTS system, lactose-specific IIa component
TIGR00824;EIIA-man: PTS system, mannose/fructose/sorbose family, IIA component
TIGR00825;EIIBC-GUT: PTS system, glucitol/sorbitol-specific, IIBC component
TIGR00826;EIIB_glc: PTS system, glucose-like IIB component
TIGR00827;EIIC-GAT: PTS system, galactitol-specific IIC component
TIGR00828;EIID-AGA: PTS system, mannose/fructose/sorbose family, IID component
TIGR00829;FRU: PTS system, Fru family, IIB component
TIGR00830;PTBA: PTS system, glucose subfamily, IIA component
TIGR00831;a_cpa1: Na+/H+ antiporter
TIGR00832;acr3: arsenical-resistance protein
TIGR00833;actII: transport protein
TIGR00834;ae: anion exchange protein
TIGR00835;agcS: amino acid carrier protein
TIGR00836;amt: ammonium transporter
TIGR00837;araaP: aromatic amino acid transport protein
TIGR00838;argH: argininosuccinate lyase
TIGR00839;aspA: aspartate ammonia-lyase
TIGR00840;b_cpa1: sodium/hydrogen exchanger 3
TIGR00841;bass: bile acid transporter
TIGR00842;bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
TIGR00843;benE: benzoate transporter
TIGR00844;c_cpa1: sodium/hydrogen antiporter
TIGR00845;caca: sodium/calcium exchanger 1
TIGR00846;caca2: calcium/proton exchanger
TIGR00847;ccoS: cytochrome oxidase maturation protein, cbb3-type
TIGR00848;fruA: PTS system, fructose subfamily, IIA component
TIGR00849;gutA: PTS system, glucitol/sorbitol-specific IIA component
TIGR00851;mtlA: PTS system, mannitol-specific IIC component
TIGR00852;pts-Glc: PTS system, maltose and glucose-specific subfamily, IIC component
TIGR00853;pts-lac: PTS system, lactose/cellobiose family IIB component
TIGR00854;pts-sorbose: PTS system, mannose/fructose/sorbose family, IIB component
TIGR00855;L12: ribosomal protein L7/L12
TIGR00856;pyrC_dimer: dihydroorotase, homodimeric type
TIGR00857;pyrC_multi: dihydroorotase, multifunctional complex type
TIGR00858;bioF: 8-amino-7-oxononanoate synthase
TIGR00859;ENaC: sodium channel transporter
TIGR00860;LIC: cation transporter family protein
TIGR00861;MIP: MIP family channel proteins
TIGR00862;O-ClC: intracellular chloride channel protein
TIGR00863;P2X: cation transporter protein
TIGR00864;PCC: polycystin cation channel protein
TIGR00865;bcl-2: apoptosis regulator
TIGR00867;deg-1: degenerin
TIGR00868;hCaCC: calcium-activated chloride channel protein 1
TIGR00869;sec62: protein translocation protein, Sec62 family
TIGR00870;trp: transient-receptor-potential calcium channel protein
TIGR00871;zwf: glucose-6-phosphate dehydrogenase
